date,power_price,volume_mwh,gas_price,month,power_lag1,power_lag7,gas_lag1,power_lag2,power_lag30,power_ma7,power_std7,gas_lag7,dayofweek
2017-02-23,25.48,36800.0,2.63,2,25.33,30.08,2.52,26.95,31.66,28.409999999999997,2.6606202284429896,2.85,3
2017-02-24,28.68,34400.0,2.63,2,25.48,32.87,2.63,25.33,33.43,27.752857142857142,2.7461046003731364,2.95,4
2017-02-27,26.75,28800.0,2.44,2,28.68,28.93,2.63,25.48,31.2,27.154285714285713,1.7035732754307755,2.88,0
2017-02-28,25.62,66400.0,2.54,2,26.75,25.67,2.44,28.68,32.45,26.842857142857138,1.5135137295458694,2.75,1
2017-03-01,28.66,32800.0,2.54,3,25.62,29.04,2.54,26.75,32.67,26.835714285714285,1.5200751861104136,2.75,2
2017-03-02,33.74,37600.0,2.59,3,28.66,26.95,2.54,25.62,32.5,26.78142857142857,1.4324969874480216,2.56,3
2017-03-03,30.62,16800.0,2.5,3,33.74,25.33,2.59,28.66,35.26,27.75142857142857,3.003311664210193,2.52,4
2017-03-06,27.06,36800.0,2.68,3,30.62,25.48,2.5,33.74,30.31,28.507142857142856,2.9576720253476143,2.63,0
2017-03-07,26.14,45600.0,2.68,3,27.06,28.68,2.68,30.62,28.59,28.732857142857142,2.740466592180462,2.63,1
2017-03-08,27.61,36800.0,2.59,3,26.14,26.75,2.68,27.06,28.57,28.37,2.9114543902776013,2.44,2
2017-03-09,33.24,26400.0,2.83,3,27.61,25.62,2.59,26.14,31.53,28.49285714285714,2.849179497596433,2.54,3
2017-03-10,43.65,64800.0,2.98,3,33.24,28.66,2.83,27.61,38.26,29.58142857142857,3.0192185996348466,2.54,4
2017-03-13,49.84,78400.0,3.04,3,43.65,33.74,2.98,33.24,30.27,31.722857142857144,6.050753986861792,2.59,0
2017-03-14,56.55,42400.0,3.02,3,49.84,30.62,3.04,43.65,27.51,34.02285714285714,9.190590685198488,2.5,1
2017-03-15,45.65,16800.0,3.02,3,56.55,27.06,3.02,49.84,30.48,37.72714285714285,12.29256104897825,2.68,2
2017-03-16,33.76,41600.0,2.84,3,45.65,26.14,3.02,56.55,32.86,40.382857142857134,11.592068717138337,2.68,3
2017-03-17,31.92,15200.0,2.85,3,33.76,27.61,2.84,45.65,28.42,41.471428571428575,10.319598552546239,2.59,4
2017-03-20,31.28,36000.0,2.93,3,31.92,33.24,2.85,33.76,26.11,42.08714285714285,9.44635328982516,2.83,0
2017-03-21,38.23,35200.0,3.09,3,31.28,43.65,2.93,31.92,26.95,41.80714285714286,9.77560861581129,2.98,1
2017-03-22,36.94,32000.0,3.02,3,38.23,49.84,3.09,31.28,36.84,41.03285714285715,9.819863736810401,3.04,2
2017-03-23,30.1,24800.0,2.93,3,36.94,56.55,3.02,38.23,37.03,39.19,9.073690906498124,3.02,3
2017-03-24,29.53,7200.0,2.97,3,30.1,45.65,2.93,36.94,28.7,35.411428571428566,5.405344357119879,3.02,4
2017-03-27,31.43,15200.0,2.94,3,29.53,33.76,2.97,30.1,30.27,33.10857142857142,3.365196520122966,2.84,0
2017-03-28,31.2,62400.0,2.95,3,31.43,31.92,2.94,29.53,30.08,32.77571428571428,3.4050201034299357,2.85,1
2017-03-29,32.15,19200.0,3.03,3,31.2,31.28,2.95,31.43,32.87,32.67285714285714,3.4458076667438338,2.93,2
2017-03-30,34.54,31200.0,3.08,3,32.15,38.23,3.03,31.2,28.93,32.79714285714285,3.4026152406921626,3.09,3
2017-03-31,33.51,11200.0,3.13,3,34.54,36.94,3.08,32.15,25.67,32.269999999999996,2.6154413266853163,3.02,4
2017-04-03,34.72,34400.0,3.13,4,33.51,30.1,3.13,34.54,29.04,31.779999999999998,1.7837787605717217,2.93,0
2017-04-04,32.42,35200.0,3.06,4,34.72,29.53,3.13,33.51,26.95,32.44,1.9088914758746194,2.97,1
2017-04-05,34.94,26400.0,3.22,4,32.42,31.43,3.06,34.72,25.33,32.85285714285714,1.426086887087853,2.94,2
2017-04-06,37.18,36000.0,3.23,4,34.94,31.2,3.22,32.42,25.48,33.35428571428571,1.459107685572023,2.95,3
2017-04-07,36.22,23200.0,3.23,4,37.18,32.15,3.23,34.94,28.68,34.208571428571425,1.7156381569883512,3.03,4
2017-04-10,36.6,38400.0,3.15,4,36.22,34.54,3.23,37.18,26.75,34.79,1.5865160992985319,3.08,0
2017-04-11,33.04,20800.0,3.11,4,36.6,33.51,3.15,36.22,25.62,35.08428571428571,1.7180207327315162,3.13,1
2017-04-12,32.12,16000.0,2.97,4,33.04,34.72,3.11,36.6,28.66,35.01714285714285,1.7971617835327387,3.13,2
2017-04-13,28.32,16800.0,3.0,4,32.12,32.42,2.97,33.04,33.74,34.645714285714284,2.110220029150675,3.06,3
2017-04-17,32.59,31200.0,3.09,4,28.32,34.94,3.0,32.12,30.62,34.059999999999995,3.1458332229580726,3.22,0
2017-04-18,32.34,36000.0,3.11,4,32.59,37.18,3.09,28.32,27.06,33.724285714285706,3.161623302160144,3.23,1
2017-04-19,37.2,24000.0,3.11,4,32.34,36.22,3.11,32.59,26.14,33.03285714285714,2.786961991642019,3.23,2
2017-04-20,35.48,13600.0,3.13,4,37.2,36.6,3.11,32.34,27.61,33.17285714285715,2.990901281585634,3.15,3
2017-04-21,33.38,16800.0,3.06,4,35.48,33.04,3.13,37.2,33.24,33.01285714285714,2.800932667795482,3.11,4
2017-04-24,32.63,18400.0,3.06,4,33.38,32.12,3.06,35.48,43.65,33.06142857142857,2.8044276217642685,2.97,0
2017-04-25,32.4,12800.0,2.99,4,32.63,28.32,3.06,33.38,49.84,33.13428571428572,2.782432132402995,3.0,1
2017-04-26,36.61,21600.0,3.06,4,32.4,32.59,2.99,32.63,56.55,33.71714285714285,1.8901209333948008,3.09,2
2017-04-27,36.81,12800.0,3.13,4,36.61,32.34,3.06,32.4,45.65,34.29142857142857,2.0906492498059928,3.11,3
2017-04-28,36.29,20000.0,3.2,4,36.81,37.2,3.13,36.61,33.76,34.93,2.077883538603658,3.11,4
2017-05-01,30.28,22400.0,3.2,5,36.29,35.48,3.2,36.81,31.92,34.8,1.9358030202821248,3.13,0
2017-05-02,29.76,16800.0,3.13,5,30.28,33.38,3.2,36.29,31.28,34.05714285714286,2.5360449147292115,3.06,1
2017-05-03,30.47,21600.0,3.14,5,29.76,32.63,3.13,30.28,38.23,33.54,3.020044149787676,3.06,2
2017-05-04,29.4,32800.0,3.11,5,30.47,32.4,3.14,29.76,36.94,33.231428571428566,3.231467306407581,2.99,3
2017-05-05,32.54,16800.0,3.1,5,29.4,36.61,3.11,30.47,30.1,32.80285714285714,3.5439418462390067,3.06,4
2017-05-08,34.23,26400.0,3.06,5,32.54,36.81,3.1,29.4,29.53,32.221428571428575,3.124246194798744,3.13,0
2017-05-09,33.79,33600.0,3.03,5,34.23,36.29,3.06,32.54,31.43,31.852857142857143,2.601087684576839,3.2,1
2017-05-10,35.33,31200.0,3.03,5,33.79,30.28,3.03,34.23,31.2,31.495714285714286,1.9901997985366724,3.2,2
2017-05-11,33.8,40800.0,3.23,5,35.33,29.76,3.03,33.79,32.15,32.21714285714285,2.357468375791558,3.13,3
2017-05-12,33.39,39200.0,3.24,5,33.8,30.47,3.23,35.33,34.54,32.794285714285714,2.140178007727868,3.14,4
2017-05-15,36.95,68800.0,3.26,5,33.39,29.4,3.24,33.8,33.51,33.21142857142856,1.8804558717806679,3.11,0
2017-05-16,48.07,64000.0,3.27,5,36.95,32.54,3.26,33.39,34.72,34.29,1.444726040927271,3.1,1
2017-05-17,63.69,59200.0,3.27,5,48.07,34.23,3.27,36.95,32.42,36.50857142857142,5.242373599084759,3.06,2
2017-05-18,42.61,36800.0,3.13,5,63.69,33.79,3.27,48.07,34.94,40.71714285714285,11.361840687561305,3.03,3
2017-05-19,33.3,24800.0,3.11,5,42.61,35.33,3.13,63.69,37.18,41.97714285714285,10.947092025260567,3.03,4
2017-05-22,31.15,21600.0,3.24,5,33.3,33.8,3.11,42.61,36.22,41.68714285714286,11.177004241276975,3.23,0
2017-05-23,29.43,12800.0,3.22,5,31.15,33.39,3.24,33.3,36.6,41.308571428571426,11.528036011641966,3.24,1
2017-05-24,29.54,12800.0,3.22,5,29.43,36.95,3.22,31.15,33.04,40.74285714285714,12.066000047358566,3.26,2
2017-05-26,32.8,10400.0,3.1,5,29.54,48.07,3.22,29.43,32.12,39.68428571428571,12.759338876737633,3.27,4
2017-05-30,28.86,40000.0,3.1,5,32.8,63.69,3.1,29.54,28.32,37.50285714285714,12.386599902429118,3.27,1
2017-05-31,28.18,40000.0,3.05,5,28.86,42.61,3.1,32.8,32.59,32.527142857142856,4.764373740887386,3.13,2
2017-06-01,27.97,60800.0,3.05,6,28.18,33.3,3.05,28.86,32.34,30.465714285714284,1.9867381738489756,3.11,3
2017-06-02,30.5,26400.0,2.85,6,27.97,31.15,3.05,28.18,37.2,29.70428571428571,1.7233577413764454,3.24,4
2017-06-05,27.31,28000.0,2.92,6,30.5,29.43,2.85,27.97,35.48,29.61142857142857,1.648357046389275,3.22,0
2017-06-06,24.03,15200.0,2.92,6,27.31,29.54,2.92,30.5,33.38,29.30857142857143,1.8674441408106033,3.22,1
2017-06-07,24.75,5600.0,3.06,6,24.03,32.8,2.92,27.31,32.63,28.521428571428572,2.720192570214079,3.1,2
2017-06-08,27.46,22400.0,2.98,6,24.75,28.86,3.06,24.03,32.4,27.37142857142857,2.2751075327805035,3.1,3
2017-06-09,53.59,56800.0,3.03,6,27.46,28.18,2.98,24.75,36.61,27.17142857142857,2.1820741552586913,3.05,4
