date,power_price,volume_mwh,gas_price
2017-01-03,34.39,36000.0,3.41
2017-01-04,38.59,41600.0,3.42
2017-01-05,45.24,56000.0,3.42
2017-01-06,50.89,100000.0,3.38
2017-01-09,40.17,60800.0,3.14
2017-01-10,30.75,20000.0,3.21
2017-01-11,27.08,20800.0,3.27
2017-01-12,31.66,24000.0,3.36
2017-01-13,33.43,15200.0,3.36
2017-01-16,31.2,8800.0,3.36
2017-01-17,32.45,15200.0,3.37
2017-01-18,32.67,22400.0,3.26
2017-01-19,32.5,37600.0,3.25
2017-01-20,35.26,44800.0,3.23
2017-01-23,30.31,11200.0,3.16
2017-01-24,28.59,10400.0,3.16
2017-01-25,28.57,26400.0,3.26
2017-01-26,31.53,24800.0,3.44
2017-01-27,38.26,21600.0,3.31
2017-01-30,30.27,55200.0,3.22
2017-01-31,27.51,48000.0,3.0
2017-02-01,30.48,48000.0,3.15
2017-02-02,32.86,20000.0,3.13
2017-02-03,28.42,24000.0,3.13
2017-02-06,26.11,32000.0,2.92
2017-02-07,26.95,48000.0,3.03
2017-02-08,36.84,60800.0,3.05
2017-02-09,37.03,35200.0,3.11
2017-02-10,28.7,28000.0,3.11
2017-02-13,30.27,60000.0,2.93
2017-02-14,30.08,36800.0,2.85
2017-02-15,32.87,37600.0,2.95
2017-02-16,28.93,40000.0,2.88
2017-02-17,25.67,13600.0,2.75
2017-02-20,29.04,31200.0,2.75
2017-02-21,26.95,15200.0,2.56
2017-02-22,25.33,31200.0,2.52
2017-02-23,25.48,36800.0,2.63
2017-02-24,28.68,34400.0,2.63
2017-02-27,26.75,28800.0,2.44
2017-02-28,25.62,66400.0,2.54
2017-03-01,28.66,32800.0,2.54
2017-03-02,33.74,37600.0,2.59
2017-03-03,30.62,16800.0,2.5
2017-03-06,27.06,36800.0,2.68
2017-03-07,26.14,45600.0,2.68
2017-03-08,27.61,36800.0,2.59
2017-03-09,33.24,26400.0,2.83
2017-03-10,43.65,64800.0,2.98
2017-03-13,49.84,78400.0,3.04
2017-03-14,56.55,42400.0,3.02
2017-03-15,45.65,16800.0,3.02
2017-03-16,33.76,41600.0,2.84
2017-03-17,31.92,15200.0,2.85
2017-03-20,31.28,36000.0,2.93
2017-03-21,38.23,35200.0,3.09
2017-03-22,36.94,32000.0,3.02
2017-03-23,30.1,24800.0,2.93
2017-03-24,29.53,7200.0,2.97
2017-03-27,31.43,15200.0,2.94
2017-03-28,31.2,62400.0,2.95
2017-03-29,32.15,19200.0,3.03
2017-03-30,34.54,31200.0,3.08
2017-03-31,33.51,11200.0,3.13
2017-04-03,34.72,34400.0,3.13
2017-04-04,32.42,35200.0,3.06
2017-04-05,34.94,26400.0,3.22
2017-04-06,37.18,36000.0,3.23
2017-04-07,36.22,23200.0,3.23
2017-04-10,36.6,38400.0,3.15
2017-04-11,33.04,20800.0,3.11
2017-04-12,32.12,16000.0,2.97
2017-04-13,28.32,16800.0,3.0
2017-04-17,32.59,31200.0,3.09
2017-04-18,32.34,36000.0,3.11
2017-04-19,37.2,24000.0,3.11
2017-04-20,35.48,13600.0,3.13
2017-04-21,33.38,16800.0,3.06
2017-04-24,32.63,18400.0,3.06
2017-04-25,32.4,12800.0,2.99
2017-04-26,36.61,21600.0,3.06
2017-04-27,36.81,12800.0,3.13
2017-04-28,36.29,20000.0,3.2
2017-05-01,30.28,22400.0,3.2
2017-05-02,29.76,16800.0,3.13
2017-05-03,30.47,21600.0,3.14
2017-05-04,29.4,32800.0,3.11
2017-05-05,32.54,16800.0,3.1
2017-05-08,34.23,26400.0,3.06
2017-05-09,33.79,33600.0,3.03
2017-05-10,35.33,31200.0,3.03
2017-05-11,33.8,40800.0,3.23
2017-05-12,33.39,39200.0,3.24
2017-05-15,36.95,68800.0,3.26
2017-05-16,48.07,64000.0,3.27
2017-05-17,63.69,59200.0,3.27
2017-05-18,42.61,36800.0,3.13
